enrollee_id,city,city_dev_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,looking_for_job_change,split,experience_numeric,last_new_job_numeric,job_change_label
8949,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,1,36,1,train,21,1,Looking
29725,city_40,0.7759999999999999,Male,No,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0,train,15,5,Not Looking
11561,city_21,0.624,Unknown,No,Full time course,Graduate,STEM,5,Unknown,Unknown,never,83,0,train,5,0,Not Looking
33241,city_115,0.789,Unknown,No,Unknown,Graduate,Business Degree,<1,Unknown,Pvt Ltd,never,52,1,train,0.5,0,Looking
666,city_162,0.767,Male,Yes,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0,train,21,4,Not Looking
21651,city_176,0.764,Unknown,Yes,Part time course,Graduate,STEM,11,Unknown,Unknown,1,24,1,train,11,1,Looking
28806,city_160,0.92,Male,Yes,no_enrollment,High School,Unknown,5,50-99,Funded Startup,1,24,0,train,5,1,Not Looking
402,city_46,0.762,Male,Yes,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1,train,13,5,Looking
27107,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1,train,7,1,Looking
699,city_103,0.92,Unknown,Yes,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0,train,17,5,Not Looking
29452,city_21,0.624,Unknown,No,Full time course,High School,Unknown,2,Unknown,Unknown,never,32,1,train,2,0,Looking
23853,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0,train,5,1,Not Looking
25619,city_61,0.913,Male,Yes,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0,train,21,3,Not Looking
5826,city_21,0.624,Male,No,Unknown,Unknown,Unknown,2,Unknown,Unknown,never,24,0,train,2,0,Not Looking
8722,city_21,0.624,Unknown,No,Full time course,High School,Unknown,5,Unknown,Unknown,never,26,0,train,5,0,Not Looking
6588,city_114,0.926,Male,Yes,no_enrollment,Graduate,STEM,16,NA,Pvt Ltd,>4,18,0,train,16,5,Not Looking
4167,city_103,0.92,Unknown,Yes,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0,train,1,0,Not Looking
5764,city_21,0.624,Unknown,Yes,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0,train,2,2,Not Looking
2156,city_21,0.624,Unknown,Yes,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1,train,7,0,Looking
11399,city_13,0.8270000000000001,Female,Yes,no_enrollment,Graduate,Arts,4,Unknown,Unknown,1,132,1,train,4,1,Looking
31972,city_159,0.843,Male,Yes,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0,train,11,1,Not Looking
19061,city_114,0.926,Male,Yes,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0,train,11,2,Not Looking
6491,city_102,0.804,Unknown,Yes,no_enrollment,Masters,STEM,10,Unknown,Unknown,1,48,0,train,10,1,Not Looking
7041,city_40,0.7759999999999999,Male,Yes,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0,train,0.5,1,Not Looking
22767,city_21,0.624,Unknown,Yes,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0,train,5,1,Not Looking
14505,city_67,0.855,Unknown,No,no_enrollment,High School,Unknown,4,Unknown,Unknown,never,22,0,train,4,0,Not Looking
17139,city_21,0.624,Unknown,Yes,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1,train,14,1,Looking
28476,city_103,0.92,Male,Yes,no_enrollment,Graduate,Arts,5,Unknown,Unknown,2,72,0,train,5,2,Not Looking
21538,city_100,0.887,Male,Yes,no_enrollment,High School,Unknown,11,<10,Pvt Ltd,1,8,1,train,11,1,Looking
10408,city_21,0.624,Male,Yes,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1,train,18,2,Looking
14928,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0,train,21,3,Not Looking
22293,city_103,0.92,Male,Yes,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0,train,19,5,Not Looking
4324,city_103,0.92,Female,No,Full time course,Graduate,STEM,5,Unknown,Unknown,1,24,0,train,5,1,Not Looking
26966,city_160,0.92,Female,Yes,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0,train,21,5,Not Looking
26494,city_16,0.91,Male,Yes,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0,train,12,3,Not Looking
4866,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,10,NA,Early Stage Startup,2,206,0,train,10,2,Not Looking
12726,city_114,0.926,Male,No,Part time course,High School,Unknown,1,10000+,Other,1,152,0,train,1,1,Not Looking
10164,city_114,0.926,Male,Yes,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1,train,21,4,Looking
8612,city_103,0.92,Unknown,No,no_enrollment,Graduate,STEM,12,Unknown,Unknown,4,50,0,train,12,4,Not Looking
24659,city_71,0.884,Male,No,no_enrollment,Unknown,Unknown,3,Unknown,Unknown,never,106,0,train,3,0,Not Looking
2547,city_114,0.926,Female,Yes,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0,train,16,2,Not Looking
13854,city_104,0.924,Male,Yes,no_enrollment,High School,Unknown,4,NA,Pvt Ltd,2,36,0,train,4,2,Not Looking
31654,city_21,0.624,Unknown,Yes,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1,train,6,1,Looking
13643,city_64,0.6659999999999999,Unknown,No,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0,train,9,0,Not Looking
5590,city_21,0.624,Male,Yes,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1,train,9,3,Looking
22452,city_21,0.624,Female,No,Full time course,Masters,STEM,5,Unknown,Unknown,never,26,1,train,5,0,Looking
9006,city_21,0.624,Male,Yes,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1,train,5,0,Looking
25987,city_103,0.92,Other,Yes,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1,train,19,4,Looking
4476,city_101,0.5579999999999999,Male,Yes,no_enrollment,Graduate,No Major,15,Unknown,Unknown,>4,20,1,train,15,5,Looking
25103,city_83,0.923,Male,Yes,no_enrollment,Graduate,STEM,11,NA,Pvt Ltd,1,21,0,train,11,1,Not Looking
5568,city_101,0.5579999999999999,Male,No,no_enrollment,Graduate,STEM,4,Unknown,Unknown,1,92,1,train,4,1,Looking
2195,city_64,0.6659999999999999,Male,Yes,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0,train,10,2,Not Looking
30533,city_105,0.794,Male,No,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0,train,5,5,Not Looking
28512,city_104,0.924,Unknown,Yes,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0,train,3,2,Not Looking
1023,city_114,0.926,Male,No,Full time course,High School,Unknown,4,10000+,Pvt Ltd,1,43,0,train,4,1,Not Looking
12253,city_104,0.924,Male,Yes,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0,train,21,1,Not Looking
25296,city_73,0.754,Male,Yes,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0,train,2,2,Not Looking
13238,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,2,19,0,train,21,2,Not Looking
13478,city_21,0.624,Unknown,Yes,Full time course,Graduate,STEM,2,NA,Funded Startup,Unknown,32,1,train,2,NA,Looking
18578,city_162,0.767,Male,Yes,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1,train,21,5,Looking
29975,city_67,0.855,Male,Yes,Part time course,Graduate,STEM,6,Unknown,Unknown,1,90,0,train,6,1,Not Looking
26516,city_75,0.939,Male,Yes,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0,train,6,3,Not Looking
24690,city_41,0.8270000000000001,Unknown,Yes,Unknown,Masters,STEM,13,<10,Unknown,1,15,0,train,13,1,Not Looking
8433,city_100,0.887,Male,Yes,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0,train,21,5,Not Looking
9572,city_11,0.55,Unknown,No,Full time course,High School,Unknown,3,Unknown,Unknown,Unknown,98,0,train,3,NA,Not Looking
5878,city_93,0.865,Male,Yes,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1,train,10,2,Looking
25695,city_67,0.855,Other,No,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0,train,4,4,Not Looking
9645,city_16,0.91,Male,Yes,no_enrollment,Graduate,STEM,15,Unknown,Unknown,>4,47,0,train,15,5,Not Looking
12730,city_16,0.91,Female,Yes,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0,train,14,1,Not Looking
4830,city_90,0.698,Unknown,No,Unknown,Unknown,Unknown,2,Unknown,Pvt Ltd,never,228,1,train,2,0,Looking
20970,city_64,0.6659999999999999,Male,Yes,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,4,22,0,train,21,4,Not Looking
17271,city_21,0.624,Male,No,Full time course,Graduate,STEM,<1,Unknown,Unknown,never,18,1,train,0.5,0,Looking
12731,city_13,0.8270000000000001,Male,Yes,no_enrollment,Graduate,STEM,2,NA,Pvt Ltd,1,29,0,train,2,1,Not Looking
10908,city_67,0.855,Male,Yes,no_enrollment,Masters,STEM,5,100-500,Unknown,1,46,0,train,5,1,Not Looking
29117,city_11,0.55,Unknown,No,Full time course,Graduate,STEM,<1,Unknown,Unknown,never,12,0,train,0.5,0,Not Looking
3686,city_103,0.92,Unknown,Yes,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0,train,5,2,Not Looking
22683,city_36,0.893,Male,Yes,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0,train,5,2,Not Looking
22134,city_103,0.92,Male,No,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0,train,3,1,Not Looking
31765,city_67,0.855,Male,No,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0,train,9,3,Not Looking
31449,city_103,0.92,Female,Yes,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0,train,2,1,Not Looking
5987,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0,train,15,5,Not Looking
21762,city_160,0.92,Male,Yes,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0,train,21,2,Not Looking
22070,city_103,0.92,Male,No,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,1,136,0,train,21,1,Not Looking
25413,city_103,0.92,Male,Yes,no_enrollment,Graduate,STEM,5,NA,Unknown,1,27,0,train,5,1,Not Looking
5902,city_20,0.7959999999999999,Unknown,Yes,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0,train,4,1,Not Looking
28403,city_71,0.884,Male,Yes,no_enrollment,Graduate,STEM,15,NA,Early Stage Startup,1,86,0,train,15,1,Not Looking
30937,city_57,0.866,Female,No,Part time course,Graduate,STEM,<1,NA,Pvt Ltd,2,83,0,train,0.5,2,Not Looking
28751,city_103,0.92,Unknown,No,Full time course,High School,Unknown,4,Unknown,Unknown,3,75,0,train,4,3,Not Looking
